pocket,compound_id,desalted_smiles,source_database,best_docking_score_kcal_mol,median_docking_score_kcal_mol,max_tanimoto_to_reference,fingerprint_methods,observation_count,original_smiles,canonical_smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,passes_lipinski_light
BP2,118810,Cc1cc(=O)oc2cc(O)cc(OCc3ccccc3)c12,numeric library ID,-8.495,-8.495,0.694,Avalon,1,O(c1c2c(oc(=O)cc2C)cc(c1)O)Cc1ccccc1,Cc1cc(=O)oc2cc(O)cc(OCc3ccccc3)c12,282.295,3.386,1,4,59.67,3,21,True
BP2,50651,O=C(Nc1ccc(Cl)cc1)c1cc2c(cc1O)[nH]c1ccccc12,numeric library ID,-8.307,-8.307,0.241,Morgan;Torsions,2,[nH]1c2cc(c(cc2c2c1cccc2)C(=O)Nc1ccc(Cl)cc1)O,O=C(Nc1ccc(Cl)cc1)c1cc2c(cc1O)[nH]c1ccccc12,336.778,4.932,3,2,65.12,2,24,True
BP2,MolPort-002-321-924,O=C(NNC(=O)c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,MolPort,-8.303,-8.303,0.562,FCFP,1,Oc1c(C(=O)NNC(=O)c2c(O)c3ccccc3oc2=O)c(=O)oc2ccccc12,O=C(NNC(=O)c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,408.322,1.385,4,8,159.08,2,30,True
BP2,686393,O=c1oc2ccccc2c(O)c1C(c1cccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)c1)c1c(O)c2ccccc2oc1=O,numeric library ID,-8.211,-8.211,0.633,FCFP,1,c1ccc2c(c1)oc(=O)c(c2O)C(c1c(=O)oc2c(c1O)cccc2)c1cccc(c1)C(c1c(c2ccccc2oc1=O)O)c1c(=O)oc2c(c1O)cccc2,O=c1oc2ccccc2c(O)c1C(c1cccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)c1)c1c(O)c2ccccc2oc1=O,746.68,7.295,4,12,201.76,6,56,False
BP2,CHEMBL392451,O=c1oc2ccccc2c(O)c1C(c1cccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)c1)c1c(O)c2ccccc2oc1=O,ChEMBL23,-8.211,-8.211,0.633,FCFP,1,c1ccc2c(c1)oc(=O)c(c2O)C(c1c(O)c2c(oc1=O)cccc2)c1cccc(c1)C(c1c(=O)oc2c(c1O)cccc2)c1c(=O)oc2c(c1O)cccc2,O=c1oc2ccccc2c(O)c1C(c1cccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)c1)c1c(O)c2ccccc2oc1=O,746.68,7.295,4,12,201.76,6,56,False
BP2,CHEMBL1364708,O=c1cc(-c2cc3ccccc3o2)c2cc(O)ccc2o1,ChEMBL23,-8.175,-8.175,0.475,Morgan,1,o1c(c2c3c(oc(=O)c2)ccc(O)c3)cc2c1cccc2,O=c1cc(-c2cc3ccccc3o2)c2cc(O)ccc2o1,278.263,3.912,1,4,63.58,1,21,True
BP2,MolPort-003-378-434,O=c1cc(-c2cc3ccccc3o2)c2cc(O)ccc2o1,MolPort,-8.175,-8.175,0.475,Morgan,1,Oc1ccc2oc(=O)cc(c3cc4ccccc4o3)c2c1,O=c1cc(-c2cc3ccccc3o2)c2cc(O)ccc2o1,278.263,3.912,1,4,63.58,1,21,True
BP2,4368550,O=c1cc(-c2cccc(O)c2)oc2c1ccc1ccccc12,numeric library ID,-8.141,-8.141,0.913,Rdmaccs,1,Oc1cccc(c1)c1cc(=O)c2ccc3ccccc3c2o1,O=c1cc(-c2cccc(O)c2)oc2c1ccc1ccccc12,288.302,4.319,1,3,50.44,1,22,True
BP2,CHEMBL1801014,O=c1cc(-c2cccc(O)c2)oc2c1ccc1ccccc12,ChEMBL23,-8.141,-8.141,0.913,Rdmaccs,1,c1cc2c(oc(cc2=O)c2cccc(c2)O)c2c1cccc2,O=c1cc(-c2cccc(O)c2)oc2c1ccc1ccccc12,288.302,4.319,1,3,50.44,1,22,True
BP2,ZINC000000057885,O=c1cc(-c2cccc(O)c2)oc2c1ccc1ccccc12,ZINC15,-8.141,-8.141,0.913,Rdmaccs,1,O=c1cc(c2cccc(O)c2)oc2c1ccc1ccccc21,O=c1cc(-c2cccc(O)c2)oc2c1ccc1ccccc12,288.302,4.319,1,3,50.44,1,22,True
BP2,7524,COc1ccc(C(=O)O[C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5[C@]6(O)C[C@H](O)[C@@]7(O)[C@@H](CN8C[C@@H](C)CC[C@H]8[C@@]7(C)O)[C@]6(O)C[C@@]53O[C@@]24O)cc1OC,numeric library ID,-8.124,-8.124,0.315,RDK,1,O1[C@]23C[C@]4([C@H]5[C@@]([C@@]([C@H]6N(C[C@H](CC6)C)C5)(O)C)([C@H](C[C@]4([C@@H]2CC[C@H]2[C@@]3(CC[C@@H]([C@]12O)OC(=O)c1cc(c(cc1)OC)OC)C)O)O)O)O,COc1ccc(C(=O)O[C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5[C@]6(O)C[C@H](O)[C@@]7(O)[C@@H](CN8C[C@@H](C)CC[C@H]8[C@@]7(C)O)[C@]6(O)C[C@@]53O[C@@]24O)cc1OC,673.8,1.356,6,12,178.61,4,48,False
BP2,656562,O=c1oc2cc3ccccc3cc2c2c1ccc1ccccc12,numeric library ID,-8.08,-8.08,0.818,RDK;Rdmaccs,2,c12ccccc1c1c(cc2)c(=O)oc2c1cc1c(c2)cccc1,O=c1oc2cc3ccccc3cc2c2c1ccc1ccccc12,296.325,5.253,0,2,30.21,0,23,False
BP2,DB06595,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,DrugBank,-7.953,-7.953,0.318,FCFP;RDK,2,c12c(c3c4c5c1c1c(cccc1)n5[C@]1(O[C@@H](n4c4c3cccc4)C[C@@H](N(C)C(=O)c3ccccc3)[C@H]1OC)C)C(=O)NC2,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,570.649,5.907,1,6,77.73,3,43,False
BP2,HMDB30796,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,HMDB,-7.943,-7.943,0.357,Torsions,1,OC1=CC(O)=C(C=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,302.238,1.988,5,7,131.36,1,22,True
BP2,LSM-36988,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,LINCS,-7.943,-7.943,0.724,FCFP;Rdmaccs;Torsions,3,OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)cc3O,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,302.238,1.988,5,7,131.36,1,22,True
BP2,MRI,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,PDB ligand,-7.943,-7.943,0.724,FCFP;RDK;Rdmaccs;Torsions,4,Oc1c(=O)c2c(O)cc(O)cc2oc1c1ccc(O)cc1O,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,302.238,1.988,5,7,131.36,1,22,True
BP2,71881,O=C(Nc1ccc2ncccc2c1)Nc1ccc2ncccc2c1,numeric library ID,-7.856,-7.856,0.27,FCFP,1,n1c2ccc(cc2ccc1)NC(=O)Nc1ccc2ncccc2c1,O=C(Nc1ccc2ncccc2c1)Nc1ccc2ncccc2c1,314.348,4.427,2,3,66.91,2,24,True
BP2,338,Oc1ccc2nc(-c3cccc4c(O)cccc34)oc2c1,PDB ligand,-7.843,-7.843,0.302,Morgan,1,c1(cc2c(cc1)nc(o2)c1c2c(ccc1)c(ccc2)O)O,Oc1ccc2nc(-c3cccc4c(O)cccc34)oc2c1,277.279,4.059,2,4,66.49,1,21,True
BP2,DB07009,Oc1ccc2nc(-c3cccc4c(O)cccc34)oc2c1,DrugBank,-7.843,-7.843,0.412,FCFP;Morgan;Torsions,3,c1(cc2c(cc1)nc(o2)c1c2c(ccc1)c(ccc2)O)O,Oc1ccc2nc(-c3cccc4c(O)cccc34)oc2c1,277.279,4.059,2,4,66.49,1,21,True
BP2,HMDB30821,O=c1ccc2cc(O)c(OC3OC(CO)C(O)C(O)C3O)cc2o1,HMDB,-7.718,-7.718,0.547,Avalon,1,OCC1OC(OC2=C(O)C=C3C=CC(=O)OC3=C2)C(O)C(O)C1O,O=c1ccc2cc(O)c(OC3OC(CO)C(O)C(O)C3O)cc2o1,340.284,-1.323,5,9,149.82,3,24,True
BP2,13974,Nc1ccc(N=Nc2ccccc2)c2ccccc12,numeric library ID,-7.699,-7.699,0.592,Pattern,1,N(=Nc1ccc(c2c1cccc2)N)/c1ccccc1,Nc1ccc(N=Nc2ccccc2)c2ccccc12,247.301,4.837,1,3,50.74,2,19,True
BP2,HMDB38956,O=c1oc(C=CC=Cc2ccc(O)cc2)nc2ccccc12,HMDB,-7.636,-7.636,0.385,FCFP,1,OC1=CC=C(C=CC=C/C2=NC3=CC=CC=C3C(=O)O2)C=C1,O=c1oc(C=CC=Cc2ccc(O)cc2)nc2ccccc12,291.306,3.62,1,4,63.33,3,22,True
BP2,96541,N#CC1C=Cc2c(ccc3ccccc23)N1C(=O)c1ccccc1,numeric library ID,-7.635,-7.635,0.341,Avalon,1,N1(C(C=Cc2c3ccccc3ccc12)C#N)C(=O)c1ccccc1,N#CC1C=Cc2c(ccc3ccccc23)N1C(=O)c1ccccc1,310.356,4.406,0,2,44.1,1,24,True
