compound_id,docking_score_kcal_mol,tanimoto_to_reference,smiles,fingerprint_method,pocket,source_file,valid_smiles,canonical_smiles,desalted_smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,source_database,passes_lipinski_light
5426,-6.757,0.389,o1c2c(c(c3cc(c(cc13)O)O)C)cc(c(=O)c2)O,RDK,BP1,BP1_candidates.xlsx,True,Cc1c2cc(O)c(=O)cc-2oc2cc(O)c(O)cc12,Cc1c2cc(O)c(=O)cc-2oc2cc(O)c(O)cc12,258.229,2.323,3,5,90.9,0,19,numeric library ID,True
151252,-7.043,0.5,Brc1ccc2c(c1)c1ccccc1cc2C(=O)O,Rdmaccs,BP1,BP1_candidates.xlsx,True,O=C(O)c1cc2ccccc2c2cc(Br)ccc12,O=C(O)c1cc2ccccc2c2cc(Br)ccc12,301.139,4.454,1,1,37.3,1,18,numeric library ID,True
151252,-7.043,0.342,Brc1ccc2c(c1)c1ccccc1cc2C(=O)O,Torsions,BP1,BP1_candidates.xlsx,True,O=C(O)c1cc2ccccc2c2cc(Br)ccc12,O=C(O)c1cc2ccccc2c2cc(Br)ccc12,301.139,4.454,1,1,37.3,1,18,numeric library ID,True
4MU,-6.967,0.704,c1cc(cc2oc(=O)cc(C)c12)O,Avalon,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,PDB ligand,True
4MU,-6.967,0.552,c1cc(cc2oc(=O)cc(C)c12)O,FCFP,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,PDB ligand,True
4MU,-6.967,0.429,c1cc(cc2oc(=O)cc(C)c12)O,Morgan,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,PDB ligand,True
4MU,-6.967,0.537,c1cc(cc2oc(=O)cc(C)c12)O,Pairs,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,PDB ligand,True
PEY,-7.242,0.659,c1cccc2c1c1c(cc2)cccc1,Pattern,BP1,BP1_candidates.xlsx,True,c1ccc2c(c1)ccc1ccccc12,c1ccc2c(c1)ccc1ccccc12,178.234,3.993,0,0,0.0,0,14,PDB ligand,True
4MU,-6.967,0.645,c1cc(cc2oc(=O)cc(C)c12)O,RDK,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,PDB ligand,True
4MU,-6.967,0.957,c1cc(cc2oc(=O)cc(C)c12)O,Rdmaccs,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,PDB ligand,True
4MU,-6.967,0.516,c1cc(cc2oc(=O)cc(C)c12)O,Torsions,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,PDB ligand,True
SCHEMBL2761833,-6.856,0.913,c12oc(=O)cc(c1ccc(c2)F)O,Avalon,BP1,BP1_candidates.xlsx,True,O=c1cc(O)c2ccc(F)cc2o1,O=c1cc(O)c2ccc(F)cc2o1,180.134,1.638,1,3,50.44,0,13,SureChEMBL,True
SCHEMBL2761833,-6.856,0.704,c12oc(=O)cc(c1ccc(c2)F)O,FCFP,BP1,BP1_candidates.xlsx,True,O=c1cc(O)c2ccc(F)cc2o1,O=c1cc(O)c2ccc(F)cc2o1,180.134,1.638,1,3,50.44,0,13,SureChEMBL,True
SCHEMBL13315779,-6.98,0.562,c1ccc2c(c1)oc(=O)cc2C#C,Morgan,BP1,BP1_candidates.xlsx,True,C#Cc1cc(=O)oc2ccccc12,C#Cc1cc(=O)oc2ccccc12,170.167,1.774,0,2,30.21,0,13,SureChEMBL,True
SCHEMBL9642273,-6.514,0.71,C1(=O)Oc2ccccc2C(=O)[CH-]1,Pairs,BP1,BP1_candidates.xlsx,True,O=c1[cH-]c(=O)c2ccccc2o1,O=c1[cH-]c(=O)c2ccccc2o1,161.136,0.872,0,3,47.28,0,12,SureChEMBL,True
SCHEMBL11848480,-6.759,0.919,c1(O)cc2c(c(O)cc(=O)o2)cc1,Pattern,BP1,BP1_candidates.xlsx,True,O=c1cc(O)c2ccc(O)cc2o1,O=c1cc(O)c2ccc(O)cc2o1,178.143,1.204,2,4,70.67,0,13,SureChEMBL,True
