pocket,compound_ids,source_databases,desalted_smiles,old_best_docking_score_kcal_mol,new_vina_score_kcal_mol,score_delta_new_minus_old,ligand_name,out_pdbqt,log_path,returncode
BP2,17055,numeric library ID,CC(=O)Oc1ccc2cc(-c3ccccc3)c(=O)oc2c1,-7.183,-8.099,-0.9160000000000004,BP2_17055,work/docking/BP2/BP2_17055_vina_out.pdbqt,work/docking/BP2/BP2_17055_vina.log,0
BP2,CHEMBL374372,ChEMBL23,O=c1cc(/C=C/c2ccc(O)c(O)c2)oc2ccccc12,-7.174,-8.859,-1.6849999999999996,BP2_CHEMBL374372,work/docking/BP2/BP2_CHEMBL374372_vina_out.pdbqt,work/docking/BP2/BP2_CHEMBL374372_vina.log,0
BP2,LSM-36455,LINCS,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,-7.102,-8.6,-1.4979999999999993,BP2_LSM-36455,work/docking/BP2/BP2_LSM-36455_vina_out.pdbqt,work/docking/BP2/BP2_LSM-36455_vina.log,0
BP2,2357873;MolPort-002-153-633;ZINC000002897678,MolPort;ZINC15;numeric library ID,O=c1cc(O)c2c(=O)oc3ccccc3c2o1,-7.02,-8.146,-1.1260000000000012,BP2_2357873,work/docking/BP2/BP2_2357873_vina_out.pdbqt,work/docking/BP2/BP2_2357873_vina.log,0
BP2,2035856,numeric library ID,O=c1cc(Oc2cc(=O)oc3ccccc23)c2ccccc2o1,-7.005,-8.63,-1.6250000000000009,BP2_2035856,work/docking/BP2/BP2_2035856_vina_out.pdbqt,work/docking/BP2/BP2_2035856_vina.log,0
BP2,CHEMBL3094027,ChEMBL23,O=c1cc(O)c2ccc(OCc3cccc(F)c3)cc2o1,-6.968,-8.24,-1.2720000000000002,BP2_CHEMBL3094027,work/docking/BP2/BP2_CHEMBL3094027_vina_out.pdbqt,work/docking/BP2/BP2_CHEMBL3094027_vina.log,0
BP2,2608,numeric library ID,O=c1cc2oc3cc(O)c(O)cc3c(-c3ccccc3)c-2cc1O,-6.961,-8.114,-1.1530000000000005,BP2_2608,work/docking/BP2/BP2_2608_vina_out.pdbqt,work/docking/BP2/BP2_2608_vina.log,0
BP2,HMDB29518,HMDB,CC(=O)c1ccc2oc(=O)cc(C)c2c1O,-6.957,-7.204,-0.2469999999999999,BP2_HMDB29518,work/docking/BP2/BP2_HMDB29518_vina_out.pdbqt,work/docking/BP2/BP2_HMDB29518_vina.log,0
BP2,1477,numeric library ID,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,-6.953,-8.161,-1.2079999999999993,BP2_1477,work/docking/BP2/BP2_1477_vina_out.pdbqt,work/docking/BP2/BP2_1477_vina.log,0
BP2,LSM-17202,LINCS,O=c1cc(CN2CCOCC2)c2cc(Cl)c(O)cc2o1,-6.917,-7.416,-0.49900000000000055,BP2_LSM-17202,work/docking/BP2/BP2_LSM-17202_vina_out.pdbqt,work/docking/BP2/BP2_LSM-17202_vina.log,0
BP2,DB08100,DrugBank,Cc1cc(/C=C/c2ccccc2)cc(C)c1O,-6.88,-7.748,-0.8680000000000003,BP2_DB08100,work/docking/BP2/BP2_DB08100_vina_out.pdbqt,work/docking/BP2/BP2_DB08100_vina.log,0
